process,doc_source,doc_id,doc_type,table_name
classification,true,classify_P1,true_table,RAW_CLASSIFY_P1_OPERATIVE_RULES_TRUE
classification,pred,classify_P1,llm_response_classification,RAW_CLASSIFY_P1_OPERATIVE_RULES
classification,true,classify_P2_Definitional_facts,true_table,RAW_CLASSIFY_P2_DEFINITIONAL_FACTS_TRUE
classification,pred,classify_P2_Definitional_facts,llm_response_classification,RAW_CLASSIFY_P2_DEFINITIONAL_FACTS
classification,true,classify_P2_Definitional_names,true_table,RAW_CLASSIFY_P2_DEFINITIONAL_NAMES_TRUE
classification,pred,classify_P2_Definitional_names,llm_response_classification,RAW_CLASSIFY_P2_DEFINITIONAL_NAMES
classification,pred,classify_P2_Definitional_terms,true_table,RAW_CLASSIFY_P2_DEFINITIONAL_TERMS_TRUE
classification,pred,classify_P2_Definitional_terms,llm_response_classification,RAW_CLASSIFY_P2_DEFINITIONAL_TERMS
classification,true,classify_P2_Operative_rules,true_table,RAW_CLASSIFY_P2_OPERATIVE_RULES_TRUE
classification,pred,classify_P2_Operative_rules,llm_response_classification,RAW_CLASSIFY_P2_OPERATIVE_RULES
transformation,pred,transform_Fact_Types,llm_response_transform,RAW_TRANSFORM_FACT_TYPES
transformation,pred,transform_Names,llm_response_transform,RAW_TRANSFORM_NAMES
transformation,pred,transform_Operative_Rules,llm_response_transform,RAW_TRANSFORM_OPERATIVE_RULES
transformation,pred,transform_Terms,llm_response_transform,RAW_TRANSFORM_TERMS
extraction,true,§ 275.0-2_P1,true_table,RAW_SECTION_P1_EXTRACTED_ELEMENTS_TRUE
extraction,pred,§ 275.0-2_P1,llm_response,RAW_SECTION_P1_EXTRACTED_ELEMENTS
extraction,true,§ 275.0-2_P2,true_table,RAW_SECTION_P2_EXTRACTED_NOUN_TRUE
extraction,pred,§ 275.0-2_P2,llm_response,RAW_SECTION_P2_EXTRACTED_NOUN
extraction,true,§ 275.0-5_P1,true_table,RAW_SECTION_P1_EXTRACTED_ELEMENTS_TRUE
extraction,pred,§ 275.0-5_P1,llm_response,RAW_SECTION_P1_EXTRACTED_ELEMENTS
extraction,true,§ 275.0-5_P2,true_table,RAW_SECTION_P2_EXTRACTED_NOUN_TRUE
extraction,pred,§ 275.0-5_P2,llm_response,RAW_SECTION_P2_EXTRACTED_NOUN
extraction,true,§ 275.0-7_P1,true_table,RAW_SECTION_P1_EXTRACTED_ELEMENTS_TRUE
extraction,pred,§ 275.0-7_P1,llm_response,RAW_SECTION_P1_EXTRACTED_ELEMENTS
extraction,true,§ 275.0-7_P2,true_table,RAW_SECTION_P2_EXTRACTED_NOUN_TRUE
extraction,pred,§ 275.0-7_P2,llm_response,RAW_SECTION_P2_EXTRACTED_NOUN
