process,doc_source,doc_id,doc_type,table_name
classification,pred,classify_P1,llm_response_classification,RAW_CLASSIFY_P1_OPERATIVE_RULES
classification,true,classify_P1,true_table,RAW_CLASSIFY_P1_OPERATIVE_RULES_TRUE
classification,pred,classify_P2_Definitional_facts,llm_response_classification,RAW_CLASSIFY_P2_DEFINITIONAL_FACTS
classification,true,classify_P2_Definitional_facts,true_table,RAW_CLASSIFY_P2_DEFINITIONAL_FACTS_TRUE
classification,pred,classify_P2_Definitional_names,llm_response_classification,RAW_CLASSIFY_P2_DEFINITIONAL_NAMES
classification,true,classify_P2_Definitional_names,true_table,RAW_CLASSIFY_P2_DEFINITIONAL_NAMES_TRUE
classification,pred,classify_P2_Definitional_terms,llm_response_classification,RAW_CLASSIFY_P2_DEFINITIONAL_TERMS
classification,true,classify_P2_Definitional_terms,true_table,RAW_CLASSIFY_P2_DEFINITIONAL_TERMS_TRUE
classification,pred,classify_P2_Operative_rules,llm_response_classification,RAW_CLASSIFY_P2_OPERATIVE_RULES
classification,true,classify_P2_Operative_rules,true_table,RAW_CLASSIFY_P2_OPERATIVE_RULES_TRUE
classification,both,classify,both,RAW_CLASSIFY_VW
validation,val,validation_judge_Operative_Rules,llm_validation,RAW_LLM_VALIDATION
validation,val,validation_judge_Fact_Types,llm_validation,RAW_LLM_VALIDATION
validation,val,validation_judge_Terms,llm_validation,RAW_LLM_VALIDATION
validation,val,validation_judge_Names,llm_validation,RAW_LLM_VALIDATION
validation,both,validation_judge_best,both,RAW_LLM_VALIDATION_BEST_VW
validation,both,validation_judge,both,RAW_LLM_VALIDATION_VW
validation,both,validation_completions,both,RAW_LLM_COMPLETION_VW
validation,both,validation_elepsed_time,both,RAW_ELAPSED_TIME_VW
extraction,pred,§ 275.0-2_P1,llm_response,RAW_SECTION_P1_EXTRACTED_ELEMENTS
extraction,pred,§ 275.0-5_P1,llm_response,RAW_SECTION_P1_EXTRACTED_ELEMENTS
extraction,pred,§ 275.0-7_P1,llm_response,RAW_SECTION_P1_EXTRACTED_ELEMENTS
extraction,true,§ 275.0-2_P1,true_table,RAW_SECTION_P1_EXTRACTED_ELEMENTS_TRUE
extraction,true,§ 275.0-5_P1,true_table,RAW_SECTION_P1_EXTRACTED_ELEMENTS_TRUE
extraction,true,§ 275.0-7_P1,true_table,RAW_SECTION_P1_EXTRACTED_ELEMENTS_TRUE
extraction,pred,§ 275.0-2_P2,llm_response,RAW_SECTION_P2_EXTRACTED_NOUN
extraction,pred,§ 275.0-5_P2,llm_response,RAW_SECTION_P2_EXTRACTED_NOUN
extraction,pred,§ 275.0-7_P2,llm_response,RAW_SECTION_P2_EXTRACTED_NOUN
extraction,true,§ 275.0-2_P2,true_table,RAW_SECTION_P2_EXTRACTED_NOUN_TRUE
extraction,true,§ 275.0-5_P2,true_table,RAW_SECTION_P2_EXTRACTED_NOUN_TRUE
extraction,true,§ 275.0-7_P2,true_table,RAW_SECTION_P2_EXTRACTED_NOUN_TRUE
extraction,both,section_extraction,both,RAW_SECTION_EXTRACTED_ELEMENTS_VW
transformation,pred,transform_Fact_Types,llm_response_transform,RAW_TRANSFORM_FACT_TYPES
transformation,pred,transform_Names,llm_response_transform,RAW_TRANSFORM_NAMES
transformation,pred,transform_Operative_Rules,llm_response_transform,RAW_TRANSFORM_OPERATIVE_RULES
transformation,pred,transform_Terms,llm_response_transform,RAW_TRANSFORM_TERMS
transformation,both,transform_Terms,both,RAW_TRANSFORM_ELEMENTS_VW
